from_id,to_id,relation_type,since,strength,information_access,notes
alex_wilson,beyonce,industry_peer,childhood,2,partial_insider,Phoenix Hollow Circle; strategic clarity; sparse presence but significant when she appears
alex_wilson,adele,industry_peer,childhood,2,partial_insider,Phoenix Hollow Circle; blunt warmth; wrote half of 25 at compound
alex_wilson,lady_gaga,industry_peer,childhood,2,partial_insider,Phoenix Hollow Circle; story-first framework; conceptual presence
alex_wilson,taylor_swift,industry_peer,childhood,2,partial_insider,Phoenix Hollow Circle; ghost/lurker in Summer House chat; not close personally
alex_wilson,paul_mccartney,mentor,birth,2,partial_insider,Long-view musical benchmark; quiet validator; compound visits
alex_wilson,joni_mitchell,mentor,birth,2,partial_insider,High-rigor artistic truth voice; Rosie's peer; occasional compound presence
alex_wilson,david_gilmour,family_friend,birth,2,partial_insider,Homer's closest friend; Pink Floyd; craft-first minimal talker
alex_wilson,dr_catherine_marlowe,mentor,2022-09,3,partial_insider,Juilliard piano professor; John Erskine Prize; "Best undergraduate recital in twenty years"
alex_wilson,dr_amara_osei,mentor,2022-09,2,partial_insider,Juilliard voice faculty; pushing Alex toward voice training post-graduation
alex_wilson,nora_yoon,best_friend,2022-09,3,partial_insider,Juilliard peer; real friend; Korean-American; direct musical honesty; NY Lot
alex_wilson,marcus_delacroix,best_friend,2022-09,3,partial_insider,Juilliard peer; nightlife energy; all-caps NYC summons; NY Lot
alex_wilson,freddie_ashworth,best_friend,2019,3,partial_insider,Westminster School peer; London Lot execution engine; Thursday plans
alex_wilson,jess_okonkwo,best_friend,2019,3,partial_insider,Westminster/London peer; music discovery voice; Wigmore-adjacent
alex_wilson,cosima_hicks,best_friend,2019,3,partial_insider,Artist; sculptor; London Lot; made Sound & Bone piece for Alex's NYC bedroom
alex_wilson,hugo_manners,best_friend,2019,3,partial_insider,Westminster peer; London Lot country/polo lane; Guards Polo Club world
alex_wilson,tommaso_corsini,best_friend,2023,3,partial_insider,La Terrazza anchor; Milan/Sardinia; genuine peer friendship; authentic
alex_wilson,edo_ferretti,best_friend,2023,2,partial_insider,La Terrazza chaos anchor; DJ/promoter; Ibiza/Sardinia connection
alex_wilson,camille_aubert,industry_peer,2023,2,partial_insider,Parisian gallerist; La Terrazza; connects Alex to art world perspective
alex_wilson,lucia_montero,best_friend,2023,2,partial_insider,La Terrazza; sharp/political; genuine intellectual friendship
alex_wilson,vittoria_ceretti,confirmed_hookup,2025-07,1,public_only,Confirmed hookup Sardinia July/Aug 2025; Daily Mail front page
alex_wilson,taylor_russell,confirmed_hookup,2025-10,1,partial_insider,Carnegie Hall after-party Oct 2025; one_photo evidence; Page Six
alex_wilson,hunter_schafer,rumored_hookup,2025-09,1,partial_insider,Paris Fashion Week Sept 2025; strongly_suspected; DeuxMoi sourced
alex_wilson,addison_rae,rumored_hookup,2025-09,1,partial_insider,NYC-Paris FW Sept 2025; strongly_suspected; DeuxMoi sourced
alex_wilson,alix_earle,rumored_hookup,2025-07,1,public_only,Ibiza July 2025; rumor only; DeuxMoi sourced
alex_wilson,dove_cameron,rumored_hookup,2025-06,1,public_only,London June 2025; rumor only; DeuxMoi sourced
rosie_walker,homer_wilson,parent,1970,5,full_insider,Married 1971; met Abbey Road 1970; 55 years together; the greatest partnership
rosie_walker,eleanor_vance,family_friend,1985,4,full_insider,Niece figure; Margaret Vance's daughter; Rosie calls her "my niece"; complete trust
rosie_walker,elton_john,collaborator,1970,4,partial_insider,Phoenix Hollow Circle; decades friendship; godparent to Alex; Circle anchor
rosie_walker,david_gilmour,collaborator,1970,3,partial_insider,Pink Floyd connection through Homer; Phoenix Hollow presence
homer_wilson,elton_john,collaborator,1973,3,partial_insider,Engineered Honky Château and Goodbye Yellow Brick Road; Phoenix Hollow Circle
homer_wilson,david_gilmour,best_friend,1970,4,partial_insider,Closest friend; Pink Floyd Pink Floyd Floyd work; writes letters; annual visits
