date,event,location_id,participants,public_knowledge,tabloid_source,narrative_weight,alex_pov_summary,status,trigger_for
2026-02-20,Burberry campaign concept presentation — London (remote or in-person TBD); first creative meeting for campaign that hasn't yet gone live,london_or_remote,"alex_wilson,james_latham,burberry_team",false,,context,The campaign that's been signed but not shot. First creative session. Alex has opinions about the direction.,proposed,burberry_creative_direction_arc
2026-03-05,Milan Men's Fashion Week — Loewe and Versace shows; Alex front row; AL.X coordination heavy,milan,"alex_wilson,james_latham,kevin_marsh,nadia_hassani",true,vogue_runway,load_bearing,Third fashion week. The routine is established. He knows the photographers by name now. He moves differently through these rooms than he did in September.,locked_real_world,milan_fashion_week_scenes
2026-03-08,Post-MFW dinner — Tommaso Ferrini hosts; La Terrazza core; Camille and Félix fly in,milan,"alex_wilson,tommaso_ferrini,edo_bianchi,camille_laurent,felix_moreau",false,,context,The real Milan. Tommaso's table. No obligations. Someone opened something extraordinary and nobody can remember what.,proposed,european_circle_social_scene
2026-03-15,London — Kensington; Homer at The Stave; Jess Okonkwo Wigmore recommendation; Freddie pub,kensington_london,"alex_wilson,homer_wilson,jess_okonkwo,freddie_ashworth",false,,context,London always feels different from New York. Quieter in the right ways. Homer spends two hours in the listening room with Marcus Boyle.,proposed,kensington_compound_scene
2026-03-20,Paris Fashion Week — Dior and Stella McCartney shows; Stella is godmother so the Dior show is her territory to navigate diplomatically,paris,"alex_wilson,stella_mccartney,james_latham,kevin_marsh",true,vogue_paris,load_bearing,Stella is fully aware of the Dior contract. She was involved in negotiating the terms. The fashion world watches the picture of them arriving together.,locked_real_world,paris_fashion_week_scenes
2026-04-01,Return compound — spring settle; Keeneland Spring Meet in three weeks; Tommy back from wherever Tommy was,phoenix_hollow,"alex_wilson,tommy_crawford",false,,context,He's been away since January with gaps. The compound recalibrates him. Tommy appears on the second day as if he never left.,proposed,compound_spring_reset
2026-04-04,Keeneland Spring Meet begins — annual racing; Alex in Keeneland Club; Sayre Boys crew; industry people; press light relative to London,keeneland,"alex_wilson,tommy_crawford,cody_ashford,jake_patterson,danny_harlan",true,ny_post_gossip,context,This is home-scale famous. Everyone knows him and nobody makes a thing of it. The horses are the point.,locked_real_world,keeneland_spring_scenes
2026-04-04,Le Occasioni (Album II) releases via Deutsche Grammophon — Schubert D.960 / Liszt Bénédiction / Ravel Gaspard / Montale coda; recorded back to back with Album I at compound studio; Homer Wilson producing,digital,"alex_wilson,dg_label_contact,homer_wilson",true,gramophone,load_bearing,The second record is out. DG handles the announcement. Homer is at the compound. Alex does not post anything on release day — the record speaks.,locked_real_world,album_ii_release_arc
2026-04-10,Burberry campaign shoot — London (first live campaign work); location TBD,london,"alex_wilson,kevin_marsh,nadia_hassani",true,,load_bearing,The campaign that's been waiting since the signing. It goes live after this. Something shifts in the public-facing record.,locked_real_world,burberry_campaign_shoot_scene
2026-04-11,"Coachella Weekend 1 — Alex's first ever Coachella (has done Glastonbury many times and other festivals but Coachella always clashed — school, Juilliard, RAM); wearing custom Burberry look designed for the festival; first public images of Alex in Burberry circulate as festival photography before official campaign launch; Sabrina Carpenter headlining; Justin Bieber headlining",coachella_indio,"alex_wilson,kevin_marsh,nadia_hassani",true,daily_mail,load_bearing,His first Coachella. He has watched it from a distance every year — always something in the way. Not this year. The Burberry look is custom. The photos will run everywhere before Karla Otto's team even files the press release.,locked_real_world,coachella_w1_arc
2026-04-12,PRIVATE — PLAYER CHOICE ONLY — DO NOT REFERENCE IN PUBLIC CONTENT OR MEDIA RENDERS: Possibility of surprise stage appearance / guest set during Coachella Weekend 1. Headliners Sabrina Carpenter and Justin Bieber both known to Alex through Circle and Summer House connections. Nature and scope of any appearance: Ryan's call during scene. Information wall: zero public knowledge until played.,coachella_indio,alex_wilson,false,,load_bearing,PRIVATE. This exists in the files. It does not exist in the world until Ryan plays it. Do not telegraph. Do not hint in public-facing renders. Do not write fan accounts anticipating it.,player_choice_dependent,coachella_surprise_performance_arc
2026-04-18,Burberry campaign launches — digital and print; official launch on Coachella Weekend 2; first public images already circulating from Weekend 1; all five fashion houses simultaneously live for the first time,digital,alex_wilson,true,daily_mail,load_bearing,Five houses. All live now. The Weekend 1 photos have been running for a week. Today is when it becomes official. The coverage reframes him — there is a before and after to this image in the public record.,locked_real_world,burberry_public_record_shift
2026-04-18,Coachella Weekend 2 — second weekend; Burberry campaign officially launches same day; five houses simultaneously live; Sabrina Carpenter and Justin Bieber headlining,coachella_indio,"alex_wilson,kevin_marsh,nadia_hassani",true,vogue_runway,load_bearing,Weekend 2. The campaign is live. The photos from Weekend 1 have been everywhere for a week. Today is the official version of something that has already happened. He does not check his phone during the headliner set.,locked_real_world,coachella_w2_arc
2026-05-04,Met Gala — Metropolitan Museum New York; Alex as co-chair (announced Dec 2025); Young Met Board; this is his most prominent public event since the Grammys,metropolitan_museum,"alex_wilson,eleanor_vance,kevin_marsh,nadia_hassani",true,vogue_met_gala,load_bearing,Co-chair. He's been to every one since he was 10 — with Rosie then alone then as someone people watch. This one is different. Eleanor briefs him for three days running.,locked_real_world,met_gala_cochair_arc
2026-05-05,Met Gala aftermath — press cycle peaks; coverage runs for 72 hours; tabloid speculation about companions,digital,alex_wilson,true,daily_mail,load_bearing,The morning after the Met Gala is its own event. He's off his phone until noon.,locked_real_world,met_gala_press_cycle
2026-06-01,European summer planning confirmed — Sardinia June-July; Ibiza brief stop; circuit begins,phoenix_hollow,alex_wilson,false,,context,Eleanor has the schedule. Kevin has the security plan. Nadia has the logistics. Alex has a window.,proposed,european_summer_arc
2026-06-15,Glastonbury Festival — VIP compound; social circuit; 200000 people; pap scale high but crowd absorption applies,glastonbury,"alex_wilson,tommy_crawford,freddie_ashworth,jess_okonkwo",true,daily_mail,context,His birthday four days prior (June 22 — but story time shifts). Glastonbury is chaos and he loves it in a specific way. The scale flattens the hierarchy.,locked_real_world,glastonbury_scenes
2026-06-22,Alex Wilson birthday — 23rd; compound or Sardinia depending on story; quiet preferred,phoenix_hollow_or_villa_serena,alex_wilson,false,,context,He is 23. He makes no announcement. The Circle members text over a 48-hour window. Tommy texts exactly nothing and then appears in person.,locked_real_world,birthday_23_scene
2026-07-01,Villa Serena summer residency begins — Sardinia; La Terrazza core arriving in rotation,villa_serena,"alex_wilson,tommaso_ferrini,edo_bianchi,camille_laurent,lucia_espinoza,felix_moreau,giulia_agnelli",false,,context,The annual reset. The private cove. Tommaso arrives first and the house opens.,proposed,sardinia_summer_arc
2026-07-20,Ibiza circuit stop — brief; social; Ushuaïa or DC10 depending on crew energy,ibiza,"alex_wilson,tommaso_ferrini,edo_bianchi",true,deuxmoi,trivia,Two days. He's done this enough times that it's texture not event.,proposed,ibiza_circuit_scene
2026-09-01,NYFW — September opens; this is the fashion week that reoriented everything in 2025; second year in now,new_york_city,"alex_wilson,james_latham,kevin_marsh",true,vogue_runway,context,Second NYFW. Different scale. He's a fixture now — not a new face.,locked_real_world,nyfw_second_year_scenes
2026-10-01,Keeneland Fall Meet — second annual; Sayre Boys; racing; home circuit,keeneland,"alex_wilson,tommy_crawford,cody_ashford,jake_patterson,danny_harlan",true,ny_post_gossip,context,The fall version. Slightly cooler. The colours are different. The crowd is the same people he grew up with.,locked_real_world,keeneland_fall_scenes
2026-10-15,Carnegie Hall — second solo recital; Le Occasioni programme (Album II material); second Carnegie in 12 months,carnegie_hall,alex_wilson,true,nyt_arts,load_bearing,"The second Carnegie. Album II is out. The programme is Le Occasioni in full. Different weight from the first time — the room knows what to expect now, and he plays into that.",locked_real_world,carnegie_second_recital_arc
2026-11-01,"Grammy eligibility confirmed — Le Occasioni (Album II, April 2026 release) eligible for 69th Grammy Awards; DG and Eleanor flag the window",digital,alex_wilson,false,,context,Le Occasioni released April 2026 — inside the September 1 cutoff. It is eligible. Nobody mentions it to Alex until DG sends a one-line note.,locked_real_world,album_ii_release_timing_decision
2026-12-01,Year-end compound return — Rosie and Homer; Circle Christmas circuit; Woodford County settle,phoenix_hollow,"alex_wilson,rosie_walker,homer_wilson",false,,context,The year closes the same way it opened — with the compound, the quiet, the family. The circle comes through in December rotation as always.,proposed,year_end_compound_scenes
2026-12-31,Year-end — 2026 closes; story continuity open,phoenix_hollow,"alex_wilson,rosie_walker,homer_wilson,tommy_crawford",false,,context,The compound at New Year. Same as every year. Different everything else.,proposed,year_end_continuity_open
