date,event,location_id,participants,public_knowledge,tabloid_source,narrative_weight,alex_pov_summary
2025-09-15,New York Fashion Week — Alex attends shows; seated front row at multiple houses,,alex_wilson;nadia_hassani;kevin_marsh,true,Vogue;WWD;BoF;DailyMail,context,NYFW appearances; seated for Versace/Stella and others; pap situation elevated; Hunter Schafer seen at same shows
2025-09-22,Paris Fashion Week begins — Alex in Paris for PFW,,alex_wilson;donatella_versace;hunter_schafer;addison_rae,true,DailyMail;PageSix;DeuxMoi,context,Hunter Schafer strongly suspected hookup originates here; Addison Rae also in Paris; DeuxMoi activity peaks
2025-09-25,Dior deal signed — third fashion house,,alex_wilson;james_latham,false,,context,Dior non-exclusive ambassador; adds to fashion portfolio
2025-09-27,Loewe deal signed — fourth fashion house,,alex_wilson;james_latham,false,,context,Loewe non-exclusive; Jonathan Anderson relationship
2025-10-01,Paris Fashion Week ends,,alex_wilson,true,DailyMail;DeuxMoi,context,Addison Rae strongly suspected hookup; DeuxMoi sourced NYC-Paris context
2025-10-02,GQ interview published — first major profile,,alex_wilson,true,GQ;DailyMail;Vogue,load_bearing,Major men's magazine profile post-Album I release; covers music + fashion + the summer
2025-10-15,Carnegie Hall performance — solo piano recital; Album I programme,,alex_wilson,true,NYT;Telegraph;Billboard;ClassicalFM,load_bearing,First major concert hall performance post-graduation; 2804 seats; reviewed internationally; Taylor Russell seen at after-party
2025-10-17,Taylor Russell Page Six photo — Carnegie Hall after-party,carnegie_hall,alex_wilson;taylor_russell,true,PageSix,context,One photo; Page Six runs it; "one_photo" evidence; not confirmed beyond image
2025-10-20,Keeneland October Meet — back in Woodford County briefly,,alex_wilson;tommy_crawford;cody_ashford;jake_patterson;danny_harlan,false,,context,Compound time; Keeneland fall meet; Sayre Boys reunion; compound reset
2025-11-01,Burberry deal signed — fifth fashion house (not yet activated),,alex_wilson;james_latham,false,,context,Signed but campaign not started; Burberry ⚠️ status; awaiting campaign launch
2025-11-08,Grammy nominations announced — 68th Grammy Awards,,alex_wilson,true,Billboard;NYT;DailyMail;TMZ,load_bearing,Nominated Best Classical Solo Instrumental Album; Alex Wilson Album I; global coverage; fever pitch
2025-11-15,IMG Models official announcement — signed via WME contract,,alex_wilson;james_latham,true,Vogue;BoF;WWD;DailyMail,load_bearing,IMG Models signing publicly announced; model career formal; reinforces fashion portfolio
2025-11-30,Young Met Board meetings continue — Met Gala 2026 co-chair planning begins,,alex_wilson;eleanor_vance,false,,context,December announcement being prepared; board discussions underway
2025-12-05,Wigmore Hall performance — solo piano recital; London; early December,,alex_wilson,true,Guardian;Telegraph;ClassicalFM;TimesUK,load_bearing,London concert; Wigmore Hall; more intimate than Carnegie; UK press major review
2025-12-10,Met Gala 2026 co-chair announced publicly,,alex_wilson,true,Vogue;DailyMail;NYT;Guardian;WWD,load_bearing,Named as co-chair for May 2026 Met Gala ceremony; first solo co-chair of his generation; enormous media coverage
2025-12-15,Compound for Christmas — Phoenix Hollow,,alex_wilson;rosie_walker;homer_wilson;eleanor_vance;tommy_crawford,false,,context,Winter Solstice party; inner circle; compound as home; year-end review with Eleanor
2025-12-22,Winter Solstice party at Phoenix Hollow — 60-80 inner circle guests,,rosie_walker;homer_wilson;alex_wilson;elton_john;stevie_nicks;dolly_parton;brandi_carlile,false,,context,Annual compound Winter Solstice; inner circle only; no press; Circle present
2025-12-31,Year end — Alex at compound; first January 2026 approaching,,alex_wilson;rosie_walker;homer_wilson,false,,context,Grammy ceremony Feb 2 approaching; opening story state being set
